contract_id,product,subscription_date,effective_date,period_start,amount_excl_tax,movement,premium_type
EM-0013,NE-EMPRUNT-CLASSIQUE,2025-05-13,2025-05-31,2026-03-01,101.75,C01,P1
EM-0014,NE-EMPRUNT-CLASSIQUE,2025-10-31,2025-11-05,2026-03-01,56.17,C01,P1
EM-0015,NE-EMPRUNT-CLASSIQUE,2025-05-18,2025-06-17,2026-03-01,102.67,C01,P1
EM-0017,NE-EMPRUNT-FLEX,2025-09-09,2025-10-02,2026-03-01,59.92,C01,P1
EM-0018,NE-EMPRUNT-CLASSIQUE,2025-05-09,2025-06-08,2026-03-01,42.92,C01,P1
EM-0019,NE-EMPRUNT-CLASSIQUE,2025-10-24,2025-11-09,2026-03-01,90.67,C01,P1
EM-0020,NE-EMPRUNT-CLASSIQUE,2025-06-11,2025-07-05,2026-03-01,56.50,C01,P1
EM-0021,NE-EMPRUNT-CLASSIQUE,2025-12-15,2025-12-20,2026-03-01,93.67,C01,P1
EM-0022,NE-EMPRUNT-CLASSIQUE,2025-07-25,2025-07-31,2026-03-01,101.50,C01,P1
EM-0023,NE-EMPRUNT-FLEX,2025-12-13,2026-01-08,2026-03-01,81.83,C01,P1
EM-0024,NE-EMPRUNT-FLEX,2025-09-27,2025-10-01,2026-03-01,92.50,C01,P1
EM-0025,NE-EMPRUNT-FLEX,2025-04-20,2025-05-13,2026-03-01,43.33,C01,P1
EM-0026,NE-EMPRUNT-FLEX,2026-02-10,2026-02-28,2026-03-01,108.67,C01,P1
EM-0027,NE-EMPRUNT-FLEX,2026-02-19,2026-03-01,2026-03-01,120.83,C01,P1
EM-PORTEFEUILLE-001,NE-EMPRUNT-CLASSIQUE,2023-09-08,2023-10-04,2026-03-01,84.92,C01,P1
EM-PORTEFEUILLE-002,NE-EMPRUNT-CLASSIQUE,2023-03-25,2023-03-30,2026-03-01,88.75,C01,P1
EM-PORTEFEUILLE-003,NE-EMPRUNT-CLASSIQUE,2022-05-26,2022-06-24,2026-03-01,36.08,C01,P1
EM-PORTEFEUILLE-004,NE-EMPRUNT-FLEX,2023-07-02,2023-07-31,2026-03-01,77.17,C01,P1
EM-PORTEFEUILLE-005,NE-EMPRUNT-FLEX,2023-06-25,2023-07-20,2026-03-01,83.67,C01,P1
EM-PORTEFEUILLE-006,NE-EMPRUNT-CLASSIQUE,2024-02-05,2024-03-03,2026-03-01,59.25,C01,P1
EM-PORTEFEUILLE-007,NE-EMPRUNT-FLEX,2024-11-14,2024-11-20,2026-03-01,36.25,C01,P1
EM-PORTEFEUILLE-008,NE-EMPRUNT-CLASSIQUE,2024-01-22,2024-02-20,2026-03-01,101.33,C01,P1
EM-PORTEFEUILLE-009,NE-EMPRUNT-CLASSIQUE,2023-04-09,2023-04-22,2026-03-01,123.92,C01,P1
EM-PORTEFEUILLE-010,NE-EMPRUNT-FLEX,2022-05-31,2022-06-13,2026-03-01,78.25,C01,P1
EM-PORTEFEUILLE-011,NE-EMPRUNT-FLEX,2024-11-15,2024-12-09,2026-03-01,88.92,C01,P1
EM-PORTEFEUILLE-012,NE-EMPRUNT-CLASSIQUE,2022-11-29,2022-12-12,2026-03-01,38.58,C01,P1
EM-PORTEFEUILLE-013,NE-EMPRUNT-CLASSIQUE,2022-11-29,2022-12-08,2026-03-01,36.58,C01,P1
EM-PORTEFEUILLE-014,NE-EMPRUNT-FLEX,2022-06-15,2022-07-08,2026-03-01,43.75,C01,P1
EM-PORTEFEUILLE-015,NE-EMPRUNT-FLEX,2022-11-28,2022-12-08,2026-03-01,64.08,C01,P1
EM-ANNULATION,NE-EMPRUNT-CLASSIQUE,2023-04-02,2023-05-01,2026-03-01,-75.00,A01,P1
EM-EXTOURNE,NE-EMPRUNT-CLASSIQUE,2023-04-18,2023-05-01,2026-03-01,-50.00,E01,P1
EM-PRODUIT-SANS-LINEAIRE,NE-EMPRUNT-FLEX,2023-04-15,2023-05-01,2026-03-01,100.00,C01,P1
